Stock market proxy (CRPS NYSE, Amex and Nasdaq value-weighted index of all listed shares - value weighted daily return)
DATE,vwretd
1983-10-07,0.003199
1983-10-10,0.007693
1983-10-11,-0.011389
1983-10-12,-0.005652
1983-10-13,-0.000282
1983-10-14,0.000291
1983-10-17,0.001481
1983-10-18,-0.015484
1983-10-19,-0.007779
1983-10-20,0.002040
1983-10-21,-0.006769
1983-10-24,-0.001050
1983-10-25,0.002976
1983-10-26,-0.005568
1983-10-27,-0.003305
1983-10-28,-0.007451
1983-10-31,-0.000640
1983-11-01,0.000054
1983-11-02,0.008294
1983-11-03,-0.005603
1983-11-04,-0.005427
1983-11-07,-0.003675
1983-11-08,-0.001818
1983-11-09,0.011179
1983-11-10,0.003910
1983-11-11,0.011902
1983-11-14,0.003933
1983-11-15,-0.005147
1983-11-16,0.004143
1983-11-17,0.000889
1983-11-18,-0.003945
1983-11-21,0.005020
1983-11-22,0.004250
1983-11-23,0.000860
1983-11-25,0.002638
1983-11-28,-0.002958
1983-11-29,0.007495
1983-11-30,-0.006439
1983-12-01,0.000711
1983-12-02,-0.006176
1983-12-05,0.000088
1983-12-06,-0.001750
1983-12-07,0.002297
1983-12-08,-0.004432
1983-12-09,0.000168
1983-12-12,0.001665
1983-12-13,-0.003488
1983-12-14,-0.009241
1983-12-15,-0.008078
1983-12-16,0.003166
1983-12-19,-0.000523
1983-12-20,-0.002148
1983-12-21,0.007845
1983-12-22,-0.001333
1983-12-23,0.000185
1983-12-27,0.006868
1983-12-28,0.002511
1983-12-29,-0.001335
1983-12-30,0.002336
1984-01-03,-0.004344
1984-01-04,0.014762
1984-01-05,0.012746
1984-01-06,0.004296
1984-01-09,-0.002152
1984-01-10,-0.003871
1984-01-11,-0.000719
1984-01-12,-0.000106
1984-01-13,-0.003366
1984-01-16,0.000049
1984-01-17,0.003087
1984-01-18,-0.001362
1984-01-19,-0.002826
1984-01-20,-0.005557
1984-01-23,-0.008842
1984-01-24,0.003471
1984-01-25,-0.005670
1984-01-26,-0.004177
1984-01-27,-0.002169
1984-01-30,-0.008460
1984-01-31,0.001389
1984-02-01,-0.004185
1984-02-02,0.003037
1984-02-03,-0.012919
1984-02-06,-0.016164
1984-02-07,0.001627
1984-02-08,-0.016362
1984-02-09,-0.004763
1984-02-10,0.005280
1984-02-13,-0.009340
1984-02-14,0.009503
1984-02-15,-0.001106
1984-02-16,-0.001481
1984-02-17,-0.002398
1984-02-21,-0.006836
1984-02-22,-0.002112
1984-02-23,-0.001755
1984-02-24,0.019746
1984-02-27,0.011991
1984-02-28,-0.013312
1984-02-29,0.002686
1984-03-01,0.006781
1984-03-02,0.006998
1984-03-05,-0.007283
1984-03-06,-0.009547
1984-03-07,-0.010654
1984-03-08,0.003234
1984-03-09,-0.004391
1984-03-12,0.010156
1984-03-13,0.004244
1984-03-14,-0.000147
1984-03-15,0.004529
1984-03-16,0.010500
1984-03-19,-0.008733
1984-03-20,0.005502
1984-03-21,-0.001019
1984-03-22,-0.010032
1984-03-23,-0.000529
1984-03-26,-0.000440
1984-03-27,0.002870
1984-03-28,0.013606
1984-03-29,-0.000847
1984-03-30,-0.001021
1984-04-02,-0.006246
1984-04-03,-0.002913
1984-04-04,-0.000638
1984-04-05,-0.014803
1984-04-06,0.000229
1984-04-09,-0.000400
1984-04-10,0.002319
1984-04-11,-0.005367
1984-04-12,0.013830
1984-04-13,-0.000357
1984-04-16,0.004788
1984-04-17,0.004741
1984-04-18,-0.005301
1984-04-19,0.000330
1984-04-23,-0.006429
1984-04-24,0.005716
1984-04-25,0.003333
1984-04-26,0.009886
1984-04-27,-0.000607
1984-04-30,0.000827
1984-05-01,0.009933
1984-05-02,0.003941
1984-05-03,-0.002344
1984-05-04,-0.009939
1984-05-07,0.001483
1984-05-08,0.006456
1984-05-09,-0.002048
1984-05-10,-0.000899
1984-05-11,-0.008238
1984-05-14,-0.006165
1984-05-15,0.002581
1984-05-16,-0.000192
1984-05-17,-0.009415
1984-05-18,-0.005763
1984-05-21,-0.005673
1984-05-22,-0.006853
1984-05-23,-0.004376
1984-05-24,-0.013449
1984-05-25,0.002077
1984-05-29,-0.007740
1984-05-30,-0.000115
1984-05-31,0.003233
1984-06-01,0.016605
1984-06-04,0.008831
1984-06-05,-0.003435
1984-06-06,0.006855
1984-06-07,0.000322
1984-06-08,0.001643
1984-06-11,-0.011432
1984-06-12,-0.004404
1984-06-13,-0.000294
1984-06-14,-0.009751
1984-06-15,-0.006095
1984-06-18,0.013738
1984-06-19,0.005689
1984-06-20,0.010727
1984-06-21,-0.000181
1984-06-22,0.001001
1984-06-25,-0.001482
1984-06-26,-0.007479
1984-06-27,-0.006650
1984-06-28,0.006625
1984-06-29,0.002883
1984-07-02,-0.001311
1984-07-03,0.003269
1984-07-05,-0.005005
1984-07-06,-0.003386
1984-07-09,0.005388
1984-07-10,-0.002239
1984-07-11,-0.012796
1984-07-12,-0.003900
1984-07-13,0.004625
1984-07-16,0.002144
1984-07-17,0.003767
1984-07-18,-0.005521
1984-07-19,-0.006344
1984-07-20,-0.005437
1984-07-23,-0.006247
1984-07-24,-0.006572
1984-07-25,0.004692
1984-07-26,0.008041
1984-07-27,0.007930
1984-07-30,-0.004354
1984-07-31,0.002773
1984-08-01,0.020648
1984-08-02,0.024600
1984-08-03,0.028568
1984-08-06,0.004134
1984-08-07,0.000308
1984-08-08,-0.004531
1984-08-09,0.020131
1984-08-10,0.002686
1984-08-13,-0.001010
1984-08-14,-0.004669
1984-08-15,-0.007684
1984-08-16,0.005439
1984-08-17,0.001378
1984-08-20,0.003275
1984-08-21,0.015624
1984-08-22,-0.002490
1984-08-23,0.001191
1984-08-24,0.002119
1984-08-27,-0.005171
1984-08-28,0.005166
1984-08-29,-0.000187
1984-08-30,-0.002541
1984-08-31,0.001083
1984-09-04,-0.008476
1984-09-05,-0.003676
1984-09-06,0.007212
1984-09-07,-0.005862
1984-09-10,-0.000827
1984-09-11,0.002140
1984-09-12,0.000162
1984-09-13,0.016197
1984-09-14,0.006400
1984-09-17,0.000557
1984-09-18,-0.005264
1984-09-19,-0.003624
1984-09-20,0.002753
1984-09-21,-0.007421
1984-09-24,-0.002920
1984-09-25,0.000669
1984-09-26,0.003061
1984-09-27,0.003405
1984-09-28,-0.003791
1984-10-01,-0.008103
1984-10-02,-0.006102
1984-10-03,-0.006162
1984-10-04,0.001965
1984-10-05,-0.000631
1984-10-08,-0.003467
1984-10-09,-0.001916
1984-10-10,0.001674
1984-10-11,0.004223
1984-10-12,0.008418
1984-10-15,0.008178
1984-10-16,-0.003963
1984-10-17,-0.003172
1984-10-18,0.018888
1984-10-19,0.001142
1984-10-22,-0.003161
1984-10-23,-0.001202
1984-10-24,0.000301
1984-10-25,-0.004891
1984-10-26,-0.006066
1984-10-29,-0.003064
1984-10-30,0.010455
1984-10-31,-0.002960
1984-11-01,0.007025
1984-11-02,0.001325
1984-11-05,0.006687
1984-11-06,0.009764
1984-11-07,-0.006362
1984-11-08,-0.001934
1984-11-09,-0.003954
1984-11-12,-0.001723
1984-11-13,-0.007028
1984-11-14,-0.000723
1984-11-15,-0.000930
1984-11-16,-0.008409
1984-11-19,-0.006940
1984-11-20,0.004686
1984-11-21,0.002190
1984-11-23,0.012953
1984-11-26,-0.006195
1984-11-27,0.004440
1984-11-28,-0.006651
1984-11-29,-0.006324
1984-11-30,-0.002406
1984-12-03,-0.004298
1984-12-04,0.002071
1984-12-05,-0.006840
1984-12-06,0.002653
1984-12-07,-0.001755
1984-12-10,0.002592
1984-12-11,0.001991
1984-12-12,-0.002089
1984-12-13,-0.003781
1984-12-14,0.004826
1984-12-17,0.004683
1984-12-18,0.023976
1984-12-19,-0.002476
1984-12-20,-0.003653
1984-12-21,-0.003184
1984-12-24,0.006822
1984-12-26,-0.001116
1984-12-27,-0.004013
1984-12-28,0.002602
1984-12-31,0.004954
1985-01-02,-0.008738
1985-01-03,-0.003193
1985-01-04,-0.004071
1985-01-07,0.002611
1985-01-08,-0.000440
1985-01-09,0.006510
1985-01-10,0.017075
1985-01-11,-0.000536
1985-01-14,0.014039
1985-01-15,0.003053
1985-01-16,0.003976
1985-01-17,-0.000804
1985-01-18,0.003258
1985-01-21,0.020114
1985-01-22,0.002493
1985-01-23,0.010058
1985-01-24,-0.001174
1985-01-25,0.004314
1985-01-28,0.002293
1985-01-29,0.008297
1985-01-30,0.003030
1985-01-31,0.000734
1985-02-01,-0.004217
1985-02-04,0.009671
1985-02-05,0.003451
1985-02-06,0.001366
1985-02-07,0.008118
1985-02-08,0.002607
1985-02-11,-0.007415
1985-02-12,-0.000027
1985-02-13,0.013652
1985-02-14,-0.002959
1985-02-15,-0.003966
1985-02-19,-0.001205
1985-02-20,0.000302
1985-02-21,-0.005380
1985-02-22,-0.004028
1985-02-25,-0.002606
1985-02-26,0.008690
1985-02-27,-0.001177
1985-02-28,0.002215
1985-03-01,0.010510
1985-03-04,-0.004732
1985-03-05,0.000717
1985-03-06,-0.007570
1985-03-07,-0.005603
1985-03-08,-0.002358
1985-03-11,-0.001850
1985-03-12,0.003364
1985-03-13,-0.008328
1985-03-14,-0.001121
1985-03-15,-0.004104
1985-03-18,-0.000794
1985-03-19,0.012643
1985-03-20,-0.001675
1985-03-21,0.001601
1985-03-22,-0.001787
1985-03-25,-0.005511
1985-03-26,0.001909
1985-03-27,0.006083
1985-03-28,0.001341
1985-03-29,0.005897
1985-04-01,0.002861
1985-04-02,-0.003397
1985-04-03,-0.007093
1985-04-04,-0.000448
1985-04-08,-0.003839
1985-04-09,0.000847
1985-04-10,0.006488
1985-04-11,0.004518
1985-04-12,0.001705
1985-04-15,0.002389
1985-04-16,0.001814
1985-04-17,0.002456
1985-04-18,-0.003870
1985-04-19,0.001241
1985-04-22,-0.002235
1985-04-23,0.005330
1985-04-24,0.001694
1985-04-25,0.005174
1985-04-26,-0.004892
1985-04-29,-0.007751
1985-04-30,-0.005008
1985-05-01,-0.006369
1985-05-02,0.001479
1985-05-03,0.005796
1985-05-06,0.000425
1985-05-07,0.004319
1985-05-08,-0.000024
1985-05-09,0.007696
1985-05-10,0.012963
1985-05-13,0.001813
1985-05-14,-0.002605
1985-05-15,0.003528
1985-05-16,0.005813
1985-05-17,0.009145
1985-05-20,0.011666
1985-05-21,-0.000161
1985-05-22,-0.005491
1985-05-23,-0.004653
1985-05-24,0.003407
1985-05-28,-0.001145
1985-05-29,-0.000656
1985-05-30,0.000076
1985-05-31,0.007600
1985-06-03,0.000707
1985-06-04,0.003781
1985-06-05,0.001515
1985-06-06,0.003499
1985-06-07,-0.005852
1985-06-10,-0.001010
1985-06-11,-0.001831
1985-06-12,-0.005733
1985-06-13,-0.010503
1985-06-14,0.007449
1985-06-17,-0.002323
1985-06-18,0.003804
1985-06-19,-0.001888
1985-06-20,-0.000450
1985-06-21,0.010784
1985-06-24,0.000670
1985-06-25,0.003554
1985-06-26,0.001836
1985-06-27,0.005781
1985-06-28,0.003419
1985-07-01,0.003018
1985-07-02,-0.000881
1985-07-03,-0.001760
1985-07-05,0.005528
1985-07-08,-0.002969
1985-07-09,-0.003359
1985-07-10,0.006053
1985-07-11,0.003464
1985-07-12,0.002224
1985-07-15,-0.001068
1985-07-16,0.009832
1985-07-17,0.004315
1985-07-18,-0.005014
1985-07-19,0.003323
1985-07-22,-0.004280
1985-07-23,-0.007853
1985-07-24,-0.005623
1985-07-25,0.001260
1985-07-26,0.001566
1985-07-29,-0.013348
1985-07-30,0.000898
1985-07-31,0.004882
1985-08-01,0.006927
1985-08-02,-0.002154
1985-08-05,-0.005030
1985-08-06,-0.011754
1985-08-07,-0.002614
1985-08-08,0.007149
1985-08-09,-0.001766
1985-08-12,-0.002927
1985-08-13,-0.001736
1985-08-14,0.001219
1985-08-15,-0.000265
1985-08-16,-0.005204
1985-08-19,0.001273
1985-08-20,0.006553
1985-08-21,0.004775
1985-08-22,-0.007316
1985-08-23,-0.000765
1985-08-26,0.001402
1985-08-27,0.003499
1985-08-28,0.003377
1985-08-29,0.000992
1985-08-30,-0.000174
1985-09-03,-0.004114
1985-09-04,-0.003030
1985-09-05,-0.000199
1985-09-06,0.004259
1985-09-09,0.000872
1985-09-10,-0.007095
1985-09-11,-0.009884
1985-09-12,-0.007640
1985-09-13,-0.005866
1985-09-16,-0.001059
1985-09-17,-0.009385
1985-09-18,0.001089
1985-09-19,0.009132
1985-09-20,-0.004032
1985-09-23,0.009642
1985-09-24,-0.007236
1985-09-25,-0.009726
1985-09-26,0.001235
1985-09-30,0.002809
1985-10-01,0.013882
1985-10-02,-0.003484
1985-10-03,0.001357
1985-10-04,-0.004979
1985-10-07,-0.006426
1985-10-08,-0.001199
1985-10-09,0.003486
1985-10-10,0.002270
1985-10-11,0.007840
1985-10-14,0.009945
1985-10-15,-0.000910
1985-10-16,0.008456
1985-10-17,0.000498
1985-10-18,-0.001863
1985-10-21,-0.000754
1985-10-22,0.005132
1985-10-23,0.004704
1985-10-24,-0.001823
1985-10-25,-0.004815
1985-10-28,0.000864
1985-10-29,0.007225
1985-10-30,0.004438
1985-10-31,-0.000110
1985-11-01,0.007601
1985-11-04,-0.000125
1985-11-05,0.005889
1985-11-06,0.003142
1985-11-07,0.000622
1985-11-08,0.007060
1985-11-11,0.015019
1985-11-12,0.005058
1985-11-13,-0.004357
1985-11-14,0.008464
1985-11-15,-0.002880
1985-11-18,0.001902
1985-11-19,0.000871
1985-11-20,0.001242
1985-11-21,0.010924
1985-11-22,0.002128
1985-11-25,-0.004852
1985-11-26,0.001261
1985-11-27,0.008094
1985-11-29,0.000314
1985-12-02,-0.007368
1985-12-03,0.002244
1985-12-04,0.014779
1985-12-05,-0.000497
1985-12-06,-0.004723
1985-12-09,0.005069
1985-12-10,0.000667
1985-12-11,0.008413
1985-12-12,0.002875
1985-12-13,0.013634
1985-12-16,0.007686
1985-12-17,-0.005665
1985-12-18,-0.003937
1985-12-19,0.000608
1985-12-20,0.004045
1985-12-23,-0.009443
1985-12-24,-0.005130
1985-12-26,0.002217
1985-12-27,0.008816
1985-12-30,0.004190
1985-12-31,0.003518
1986-01-02,-0.005903
1986-01-03,0.005688
1986-01-06,-0.000138
1986-01-07,0.013809
1986-01-08,-0.020744
1986-01-09,-0.011219
1986-01-10,0.000083
1986-01-13,0.002750
1986-01-14,0.000366
1986-01-15,0.008206
1986-01-16,0.004702
1986-01-17,-0.001741
1986-01-20,-0.003735
1986-01-21,-0.006992
1986-01-22,-0.009593
1986-01-23,0.002665
1986-01-24,0.009683
1986-01-27,0.004343
1986-01-28,0.009631
1986-01-29,0.002445
1986-01-30,-0.003073
1986-01-31,0.009399
1986-02-03,0.008703
1986-02-04,-0.003191
1986-02-05,0.000850
1986-02-06,0.003298
1986-02-07,0.005250
1986-02-10,0.006548
1986-02-11,0.000235
1986-02-12,0.001704
1986-02-13,0.005485
1986-02-14,0.008770
1986-02-18,0.010944
1986-02-19,-0.008664
1986-02-20,0.008370
1986-02-21,0.010093
1986-02-24,-0.000822
1986-02-25,-0.001531
1986-02-26,0.001377
1986-02-27,0.011100
1986-02-28,0.001982
1986-03-03,-0.003598
1986-03-04,-0.001041
1986-03-05,-0.001620
1986-03-06,0.004543
1986-03-07,0.001744
1986-03-10,0.004365
1986-03-11,0.018869
1986-03-12,0.005044
1986-03-13,0.002131
1986-03-14,0.010278
1986-03-17,-0.007085
1986-03-18,0.004968
1986-03-19,-0.001350
1986-03-20,0.004234
1986-03-21,-0.007217
1986-03-24,0.003255
1986-03-25,-0.002417
1986-03-26,0.009802
1986-03-27,0.007167
1986-03-31,0.000801
1986-04-01,-0.011717
1986-04-02,0.001289
1986-04-03,-0.009560
1986-04-04,-0.013887
1986-04-07,-0.002678
1986-04-08,0.018684
1986-04-09,0.002362
1986-04-10,0.009745
1986-04-11,-0.000478
1986-04-14,0.005372
1986-04-15,0.001654
1986-04-16,0.017141
1986-04-17,0.003249
1986-04-18,-0.000695
1986-04-21,0.007571
1986-04-22,-0.007770
1986-04-23,-0.004023
1986-04-24,0.002155
1986-04-25,0.000314
1986-04-28,0.001947
1986-04-29,-0.009243
1986-04-30,-0.018370
1986-05-01,-0.001715
1986-05-02,-0.000187
1986-05-05,0.011256
1986-05-06,-0.000866
1986-05-07,-0.003966
1986-05-08,0.005194
1986-05-09,0.003277
1986-05-12,-0.001280
1986-05-13,-0.003563
1986-05-14,0.003771
1986-05-15,-0.010390
1986-05-16,-0.005385
1986-05-19,0.000941
1986-05-20,0.010102
1986-05-21,-0.001485
1986-05-22,0.015974
1986-05-23,0.005554
1986-05-27,0.012729
1986-05-28,0.006820
1986-05-29,0.004247
1986-05-30,-0.000871
1986-06-02,-0.007502
1986-06-03,0.001167
1986-06-04,-0.004616
1986-06-05,0.004404
1986-06-06,0.000329
1986-06-09,-0.019374
1986-06-10,-0.002085
1986-06-11,0.006348
1986-06-12,0.001987
1986-06-13,0.014414
1986-06-16,0.000177
1986-06-17,-0.005433
1986-06-18,0.000710
1986-06-19,-0.001528
1986-06-20,0.007540
1986-06-23,-0.004786
1986-06-24,0.007786
1986-06-25,0.007108
1986-06-26,-0.000353
1986-06-27,0.003151
1986-06-30,0.005388
1986-07-01,0.004584
1986-07-02,0.003451
1986-07-03,-0.001894
1986-07-07,-0.028343
1986-07-08,-0.014792
1986-07-09,0.006736
1986-07-10,0.000214
1986-07-11,-0.000794
1986-07-14,-0.016007
1986-07-15,-0.016470
1986-07-16,0.003931
1986-07-17,0.004456
1986-07-18,0.000692
1986-07-21,-0.001394
1986-07-22,0.007252
1986-07-23,0.001278
1986-07-24,-0.002720
1986-07-25,0.007468
1986-07-28,-0.015745
1986-07-29,-0.006468
1986-07-30,0.004999
1986-07-31,-0.000943
1986-08-01,-0.003907
1986-08-04,0.001310
1986-08-05,0.003844
1986-08-06,-0.001314
1986-08-07,0.002639
1986-08-08,0.000450
1986-08-11,0.014822
1986-08-12,0.010608
1986-08-13,0.009113
1986-08-14,0.003932
1986-08-15,0.002669
1986-08-18,0.000678
1986-08-19,-0.002423
1986-08-20,0.010853
1986-08-21,-0.000078
1986-08-22,0.001527
1986-08-25,-0.007474
1986-08-26,0.015298
1986-08-27,0.001865
1986-08-28,-0.000587
1986-08-29,0.000754
1986-09-02,-0.013282
1986-09-03,0.002953
1986-09-04,0.012870
1986-09-05,-0.011584
1986-09-08,-0.010801
1986-09-09,-0.002734
1986-09-10,-0.004225
1986-09-11,-0.043469
1986-09-12,-0.017739
1986-09-15,0.002875
1986-09-16,-0.001885
1986-09-17,0.003082
1986-09-18,0.001743
1986-09-19,-0.000142
1986-09-22,0.010520
1986-09-23,0.004834
1986-09-24,0.003865
1986-09-25,-0.015033
1986-09-26,0.000657
1986-09-29,-0.009524
1986-09-30,0.006641
1986-10-01,0.008137
1986-10-02,0.001751
1986-10-03,-0.000563
1986-10-06,0.003386
1986-10-07,-0.001490
1986-10-08,0.007583
1986-10-09,-0.002355
1986-10-10,-0.000723
1986-10-13,0.001346
1986-10-14,-0.002374
1986-10-15,0.011941
1986-10-16,0.002945
1986-10-17,-0.002519
1986-10-20,-0.009411
1986-10-21,-0.000263
1986-10-22,0.001406
1986-10-23,0.010694
1986-10-24,-0.002450
1986-10-27,0.002016
1986-10-28,0.002217
1986-10-29,0.005991
1986-10-30,0.010147
1986-10-31,0.001005
1986-11-03,0.006018
1986-11-04,0.002232
1986-11-05,0.002628
1986-11-06,-0.002127
1986-11-07,-0.000072
1986-11-10,0.000862
1986-11-11,0.003228
1986-11-12,-0.001627
1986-11-13,-0.012212
1986-11-14,0.004410
1986-11-17,-0.005530
1986-11-18,-0.021829
1986-11-19,-0.000487
1986-11-20,0.015495
1986-11-21,0.012645
1986-11-24,0.005465
1986-11-25,0.002661
1986-11-26,0.001481
1986-11-28,0.002269
1986-12-01,-0.001472
1986-12-02,0.016937
1986-12-03,0.001140
1986-12-04,-0.001501
1986-12-05,-0.006267
1986-12-08,-0.000944
1986-12-09,-0.006559
1986-12-10,0.005251
1986-12-11,-0.009055
1986-12-12,-0.003865
1986-12-15,0.001040
1986-12-16,0.006217
1986-12-17,-0.008011
1986-12-18,-0.003373
1986-12-19,0.008650
1986-12-22,-0.003135
1986-12-23,-0.009425
1986-12-24,0.003518
1986-12-26,0.001323
1986-12-29,-0.008515
1986-12-30,-0.005100
1986-12-31,-0.003144
1987-01-02,0.017768
1987-01-05,0.024423
1987-01-06,0.004477
1987-01-07,0.011500
1987-01-08,0.008457
1987-01-09,0.006209
1987-01-12,0.007585
1987-01-13,-0.000472
1987-01-14,0.009515
1987-01-15,0.008826
1987-01-16,-0.000396
1987-01-19,0.009770
1987-01-20,-0.000856
1987-01-21,-0.004804
1987-01-22,0.018580
1987-01-23,-0.010759
1987-01-26,-0.003463
1987-01-27,0.013191
1987-01-28,0.005567
1987-01-29,-0.003318
1987-01-30,0.000033
1987-02-02,0.010036
1987-02-03,0.000104
1987-02-04,0.012862
1987-02-05,0.007423
1987-02-06,-0.001664
1987-02-09,-0.005887
1987-02-10,-0.009694
1987-02-11,0.008719
1987-02-12,-0.004356
1987-02-13,0.012434
1987-02-17,0.016704
1987-02-18,-0.000057
1987-02-19,0.001109
1987-02-20,-0.000039
1987-02-23,-0.008504
1987-02-24,0.002070
1987-02-25,0.004260
1987-02-26,-0.001853
1987-02-27,0.003887
1987-03-02,-0.002039
1987-03-03,0.002558
1987-03-04,0.012900
1987-03-05,0.006382
1987-03-06,0.000308
1987-03-09,-0.006488
1987-03-10,0.007867
1987-03-11,-0.000318
1987-03-12,0.003340
1987-03-13,-0.003239
1987-03-16,-0.005593
1987-03-17,0.012377
1987-03-18,0.001350
1987-03-19,0.004227
1987-03-20,0.010720
1987-03-23,0.006477
1987-03-24,0.001291
1987-03-25,-0.002386
1987-03-26,0.001899
1987-03-27,-0.012282
1987-03-30,-0.022375
1987-03-31,0.006995
1987-04-01,0.001021
1987-04-02,0.004601
1987-04-03,0.019430
1987-04-06,0.004258
1987-04-07,-0.013273
1987-04-08,0.000745
1987-04-09,-0.013001
1987-04-10,-0.002385
1987-04-13,-0.019877
1987-04-14,-0.024666
1987-04-15,0.015695
1987-04-16,0.009728
1987-04-20,-0.003029
1987-04-21,0.016851
1987-04-22,-0.013839
1987-04-23,-0.002201
1987-04-24,-0.015870
1987-04-27,-0.002210
1987-04-28,0.004607
1987-04-29,0.006752
1987-04-30,0.011084
1987-05-01,-0.001035
1987-05-04,0.003318
1987-05-05,0.017619
1987-05-06,0.001091
1987-05-07,-0.000889
1987-05-08,-0.002642
1987-05-11,-0.003799
1987-05-12,0.002543
1987-05-13,0.002192
1987-05-14,0.000516
1987-05-15,-0.018699
1987-05-18,-0.006290
1987-05-19,-0.019958
1987-05-20,-0.005659
1987-05-21,0.006366
1987-05-22,0.004141
1987-05-26,0.020973
1987-05-27,0.000554
1987-05-28,0.005577
1987-05-29,-0.000084
1987-06-01,-0.000345
1987-06-02,-0.004043
1987-06-03,0.013368
1987-06-04,0.005293
1987-06-05,-0.002719
1987-06-08,0.008807
1987-06-09,0.002271
1987-06-10,0.001546
1987-06-11,0.003454
1987-06-12,0.008529
1987-06-15,0.003933
1987-06-16,0.004473
1987-06-17,0.000846
1987-06-18,0.002250
1987-06-19,0.003066
1987-06-22,0.006103
1987-06-23,-0.002938
1987-06-24,-0.003949
1987-06-25,0.005660
1987-06-26,-0.003976
1987-06-29,0.000949
1987-06-30,-0.009711
1987-07-01,-0.001935
1987-07-02,0.006446
1987-07-06,-0.001008
1987-07-07,0.006535
1987-07-08,0.002883
1987-07-09,-0.001138
1987-07-10,0.002136
1987-07-13,-0.001497
1987-07-14,0.008981
1987-07-15,-0.000296
1987-07-16,0.006095
1987-07-17,0.004605
1987-07-20,-0.007779
1987-07-21,-0.007881
1987-07-22,-0.000946
1987-07-23,-0.002735
1987-07-24,0.003734
1987-07-27,0.003828
1987-07-28,0.004836
1987-07-29,0.009066
1987-07-30,0.007182
1987-07-31,0.002215
1987-08-03,-0.002621
1987-08-04,-0.003042
1987-08-05,0.006728
1987-08-06,0.010551
1987-08-07,0.003795
1987-08-10,0.013034
1987-08-11,0.013198
1987-08-12,-0.001786
1987-08-13,0.006071
1987-08-14,-0.001001
1987-08-17,0.000621
1987-08-18,-0.013722
1987-08-19,0.001368
1987-08-20,0.013898
1987-08-21,0.002952
1987-08-24,-0.005794
1987-08-25,0.008123
1987-08-26,-0.004455
1987-08-27,-0.007617
1987-08-28,-0.010623
1987-08-31,0.007310
1987-09-01,-0.014959
1987-09-02,-0.006357
1987-09-03,-0.004136
1987-09-04,-0.008629
1987-09-08,-0.012709
1987-09-09,0.002231
1987-09-10,0.009396
1987-09-11,0.013199
1987-09-14,0.002331
1987-09-15,-0.012650
1987-09-16,-0.007277
1987-09-17,-0.000205
1987-09-18,-0.000398
1987-09-21,-0.012306
1987-09-22,0.021020
1987-09-23,0.005914
1987-09-24,-0.002234
1987-09-25,0.001318
1987-09-28,0.007394
1987-09-29,-0.002978
1987-09-30,0.001898
1987-10-01,0.013786
1987-10-02,0.003272
1987-10-05,0.000801
1987-10-06,-0.021636
1987-10-07,-0.003690
1987-10-08,-0.012758
1987-10-09,-0.007670
1987-10-12,-0.007203
1987-10-13,0.012561
1987-10-14,-0.023689
1987-10-15,-0.021937
1987-10-16,-0.047189
1987-10-19,-0.171346
1987-10-20,0.004084
1987-10-21,0.086614
1987-10-22,-0.039584
1987-10-23,-0.005845
1987-10-26,-0.082593
1987-10-27,0.015646
1987-10-28,-0.002139
1987-10-29,0.045926
1987-10-30,0.037745
1987-11-02,0.012715
1987-11-03,-0.019031
1987-11-04,-0.006246
1987-11-05,0.020305
1987-11-06,-0.010334
1987-11-09,-0.024561
1987-11-10,-0.017249
1987-11-11,0.010300
1987-11-12,0.024105
1987-11-13,-0.007350
1987-11-16,0.002760
1987-11-17,-0.014469
1987-11-18,0.008840
1987-11-19,-0.019646
1987-11-20,0.005124
1987-11-23,0.003841
1987-11-24,0.013535
1987-11-25,-0.005197
1987-11-27,-0.010562
1987-11-30,-0.039308
1987-12-01,0.005207
1987-12-02,0.004233
1987-12-03,-0.029882
1987-12-04,-0.010524
1987-12-07,0.016420
1987-12-08,0.022681
1987-12-09,0.016316
1987-12-10,-0.015894
1987-12-11,0.006124
1987-12-14,0.026406
1987-12-15,0.003886
1987-12-16,0.019315
1987-12-17,-0.013370
1987-12-18,0.021998
1987-12-21,0.003441
1987-12-22,-0.000362
1987-12-23,0.012361
1987-12-24,-0.001270
1987-12-28,-0.023265
1987-12-29,-0.003674
1987-12-30,0.011942
1987-12-31,-0.001505
1988-01-04,0.033343
1988-01-05,0.012731
1988-01-06,0.003281
1988-01-07,0.007432
1988-01-08,-0.055349
1988-01-11,0.008823
1988-01-12,-0.008457
1988-01-13,0.002029
1988-01-14,0.000917
1988-01-15,0.022896
1988-01-18,0.000363
1988-01-19,-0.006456
1988-01-20,-0.023297
1988-01-21,0.001567
1988-01-22,0.011769
1988-01-25,0.018643
1988-01-26,-0.007518
1988-01-27,-0.000013
1988-01-28,0.012649
1988-01-29,0.011853
1988-02-01,-0.003041
1988-02-02,0.002235
1988-02-03,-0.010730
1988-02-04,0.000427
1988-02-05,-0.001685
1988-02-08,-0.006637
1988-02-09,0.008420
1988-02-10,0.017143
1988-02-11,-0.000582
1988-02-12,0.005816
1988-02-16,0.007715
1988-02-17,-0.001575
1988-02-18,-0.003239
1988-02-19,0.011305
1988-02-22,0.012815
1988-02-23,-0.000602
1988-02-24,0.000320
1988-02-25,-0.006735
1988-02-26,0.002280
1988-02-29,0.017632
1988-03-01,-0.001395
1988-03-02,0.004295
1988-03-03,0.000874
1988-03-04,-0.000837
1988-03-07,0.001405
1988-03-08,0.007023
1988-03-09,0.001174
1988-03-10,-0.015827
1988-03-11,0.001914
